SATD;Path;Line;Priority
* scan through one fileset for files to include      * @param scanner the directory scanner to use.      * @param filesToBuild the map to place the files.      * @param outputTimestamp timestamp to compare against      * @return #of files out of date      * @todo should FAT granularity be included here?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/dotnet/NetCommand.java;374-381;0.0
* If true- the Java source files which are generated by the      * ejbc process are retained.      *      * @param retainSource A boolean indicating if the Java source files for      *                     the stubs and skeletons should be retained.      * @todo This is not documented in the HTML. On purpose?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java;159-166;0.0
"* Constructs an instance which may be used to process EJB descriptors and      * generate EJB stubs and skeletons- if needed.      *      * @param stdDescriptor File referencing a standard EJB descriptor.      * @param iasDescriptor File referencing an iAS-specific EJB descriptor.      * @param destDirectory File referencing the base directory where both      *                      EJB ""source"" files are found and where stubs and      *                      skeletons will be written.      * @param classpath     String representation of the classpath to be used      *                      by the iAS ejbc utility.      * @param parser        SAXParser to be used to process both of the EJB      *                      descriptors.      * @todo classpathElements is not needed here- its never used      *       (at least IDEA tells me so! :)";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java;116-131;0.0
* Simple holder for extra attributes in main section of manifest.  *  * @todo Refactor this and all the other parameter- sysproperty-  *   property etc into a single class in framework;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/extension/ExtraAttribute.java;22-27;0.0
XXX  this array stuff is a remnant of prev trials.. gotta remove.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;149;0.0
XXX;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;169;0.0
XXX;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;269;0.0
TODO: Parameterise ??;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;154;0.0
TODO Test on Unix;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;83;0.0
TODO Test on other versions of weblogic;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;81;0.0
TODO add more attributes to the task- to take care of all jspc options;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java;82;0.0
if we are a webapp- hand off to the compiler- which had better handle it;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java;444;0.0
* taking in the substring representing the path relative to the source dir      * return a new string representing the destination path      * @param path not used.      * @return null as this is not implemented.      * @todo;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/Jasper41Mangler.java;81-87;0.0
@todo this is duplicating TestResult information. Only the time is not;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTest.java;46;0.0
@todo should be moved to the test class instead.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java;802;0.0
XXX - why not simply new File(dir- filename)?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java;1967;0.0
ToDo: If dealing with default cl need to parse out <enter description here>;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java;44;0.0
* Returns the local path without the flag.- required      * @todo See why this returns the local path without the flag.      * @return The local path value.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSADD.java;69-73;0.0
* @todo is this used?      * @param state not used at the moment.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image/Text.java;74-77;0.0
* @todo is this used?      * @param state not used at the moment.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image/Text.java;82-85;0.0
TODO no methods yet for getClassname;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/ClasspathUtils.java;496;0.0
TODO no method for newInstance using a reverse-classloader;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/ClasspathUtils.java;497;0.0
XXX what is this for?;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/InputTest.java;103;0.0
* TODO : develop these testcases - the email task needs to have attributes allowing  * to simulate sending mail and to catch the output in text files or streams;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/email/EmailTaskTest.java;23-26;0.0
